model_type,sequence_length,rmse,correlation,storm_rmse,training_time_sec
LSTM,12,0.62520546,0.9258072368279476,0.95881665,782.8731067180634
LSTM,24,0.6208076477050781,0.9281374578559828,1.0178076028823853,826.7320668697357
LSTM,36,0.6280999779701233,0.925022048278802,0.943379044532776,714.3694775104523
LSTM,48,0.6271227598190308,0.9261163740602292,1.0199227333068848,722.675183057785
SSM,12,0.6976056098937988,0.9104182935040116,1.0382994413375854,1156.816607952118
SSM,24,0.7023926377296448,0.9079153903129012,1.0790503025054932,3188.897795200348
TFT,12,0.6207931041717529,0.92716965886218,1.0230863094329834,3757.581656217575
TFT,24,0.655854344367981,0.9196466538689198,0.96778666973114,6449.246386289597
LSTM,60,0.633354663848877,0.9254168922253662,1.0086780786514282,1356.81583070755
